,city,lat,lon
0,MOSKVA ,55.7504461,37.6174943
1,LONDON,51.5073219,-0.1276474
2,St Petersburg,59.938732,30.316229
3,BERLIN,52.5170365,13.3888599
4,MADRID,40.4167047,-3.7035825
5,ROMA,41.8933203,12.4829321
6,KIEV,50.4500336,30.5241361
7,PARIS,48.8566969,2.3514616
8,BUCURESTI ,44.4361414,26.1027202
9,BUDAPEST,47.4983815,19.0404707
10,Hamburg,53.550341,10.000654
11,MINSK,53.902334,27.5618791
12,WARSZAWA ,52.2319581,21.0067249
13,BEOGRAD (Belgrade),44.8178131,20.4568974
14,WIEN ,48.2083537,16.3725042
15,Kharkov,49.9902794,36.2303893
16,Barcelona,41.3828939,2.1774322
17,Novosibirsk,55.0282171,82.9234509
18,Nizhny Novgorod,56.328571,44.003506
19,Milano (Milan),45.4668,9.1905
20,Ekaterinoburg,NaN,NaN
21,M�nchen ,NaN,NaN
22,PRAHA ,50.0596288,14.446459273258009
23,Samara,53.198627,50.113987
24,Omsk,54.991375,73.371529
25,SOFIA,-15.2538402,48.2562163
26,Dnepropetrovsk,48.662589,34.9501715
27,Kazan,55.7823547,49.1242266
28,Ufa,46.370935349999996,6.231168493722434
29,Chelyabinsk,55.1598408,61.4025547
30,Donetsk ,48.0158753,37.8013407
31,Napoli ,40.8359336,14.2487826
32,Birmingham,52.4796992,-1.9026911
33,Perm,58.5951603,56.3159546
34,Rostov-na-Donu,47.2213858,39.7114196
35,Odessa,46.4873195,30.7392776
36,Volgograd,48.7081906,44.5153353
37,K�ln ,NaN,NaN
38,Torino ,45.0677551,7.6824892
39,Voronezh,51.6605982,39.2005858
40,Krasnoyarsk,63.3233807,97.0979974
41,Saratov,51.530018,46.034683
42,ZAGREB,45.8131847,15.9771774
43,Zaporozhye,47.8507859,35.1182867
44,L�dz,NaN,NaN
45,Marseille,43.2961743,5.3699525
46,RIGA,56.9493977,24.1051846
47,Lvov,49.841952,24.0315921
48,ATHINAI ,0.0666,35.9833
49,Salonika,4.631736,-74.0747515
50,STOCKHOLM,59.3251172,18.0710935
51,Krak�w,NaN,NaN
52,Valencia,39.4697065,-0.3763353
53,AMSTERDAM,52.3727598,4.8936041
54,Leeds,53.7974185,-1.5437941
55,Tolyatti,53.51495,49.407574
56,Kryvy Rig,47.9102734,33.3917703
57,Sevilla,37.3886303,-5.9953403
58,Palermo,38.1112268,13.3524434
59,Ulyanovsk,54.3107593,48.3642771
60,KISHINEV,47.0245117,28.8322923
61,Genova,44.40726,8.9338624
62,Izhevsk,56.866557,53.2094166
63,Frankfurt am Main,50.1106444,8.6820917
64,Krasnodar,45.0352566,38.9764814
65,Wroclaw ,51.1263106,16.97819633051261
66,Glasgow,55.8609825,-4.2488787
67,Yaroslave,NaN,NaN
68,Khabarovsk,48.481403,135.076935
69,Vladivostok,43.1150678,131.8855768
70,Zaragoza,41.6521342,-0.8809428
71,Essen,51.4582235,7.0158171
72,Rotterdam,51.9228934,4.4631786
73,Irkutsk,52.289597,104.280586
74,Dortmund,51.5142273,7.4652789
75,Stuttgart,48.7784485,9.1800132
76,Barnaul,53.347402,83.7784496
77,VILNIUS,54.6870458,25.2829111
78,Poznan,52.4006632,16.91973259178088
79,D�sseldorf,NaN,NaN
80,Novokuznetsk,53.757607,87.136101
81,LISBOA ,38.7077507,-9.1365919
82,HELSINKI,60.1674881,24.9427473
83,M�laga,NaN,NaN
84,Bremen,53.0758196,8.8071646
85,Sheffield,53.3806626,-1.4702278
86,SARAJEVO,43.8519774,18.3866868
87,Penza,53.200001,45.0
88,Ryazan,54.6295687,39.7425039
89,Orenburg,51.767452,55.097118
90,Naberezhnye Tchelny,55.7419774,52.399207
91,Duisburg,51.434999,6.759562
92,Lipetsk,52.6041877,39.5936899
93,Hannover,52.3744779,9.7385532
94,Mykolaiv ,47.3886032,31.9442334
95,Tula,45.2678347,1.7706797
96,OSLO,59.9133301,10.7389701
97,Tyumen,57.153534,65.542274
98,KOBENHAVN ,55.6867243,12.5700724
99,Kemerovo,54.5335781,87.342861
100,Mariupol,47.0957648,37.5499621
101,Leipzig,51.3406321,12.3747329
102,N�rnberg ,NaN,NaN
103,Bradford,53.7944229,-1.7519186
104,Astrakhan,46.3498308,48.0326203
105,DUBLIN,53.3497645,-6.2602732
106,Tomsk,58.6124279,82.0475315
107,Dresden,51.0493286,13.7381437
108,Gomel,52.4238936,31.0131698
109,Liverpool,53.4071991,-2.99168
110,Antwerpen ,51.2211097,4.3997081
111,Lugansk,48.5717084,39.2973153
112,Kirov ,58.6035257,49.6639029
113,G�teborg ,NaN,NaN
114,Cheboksary,56.1307195,47.2449597
115,Ivanovo,56.9984452,40.9737394
116,Gdansk ,54.36143405,18.62821847557274
117,Bryansk,53.2423778,34.3668288
118,Tver,56.858675,35.9208284
119,Edinburgh,55.9533456,-3.1883749
120,BRATISLAVA,48.1516988,17.1093063
121,s-Gravenhage,52.0799838,4.3113461
122,Kursk,51.739433,36.179604
123,Manchester,53.4794892,-2.2451148
124,SKOPLJE,41.9960924,21.4316495
125,Magnitogorsk,53.4242184,58.983136
126,Kaliningrad ,54.710128,20.5105838
127,TALLINN,59.4372155,24.7453688
128,Szczecin,53.4301818,14.5509623
129,Lyon,45.7578137,4.8320114
130,Kaunas,54.8982139,23.9044817
131,Bristol,51.4538022,-2.5972985
132,Nizhny Tagil,57.905149,59.9508466
133,Bochum,51.4818111,7.2196635
134,Kirklees,53.64226345,-1.7809432689150708
135,Makeyevka,NaN,NaN
136,Bydgoszcz,53.12974625,18.029369658534854
137,Bologna,44.4937577,11.3430308
138,Brno,49.1922443,16.6113382
139,Vinnutsya,NaN,NaN
140,Firenze,43.7698712,11.2555757
141,Murmansk,68.970665,33.07497
142,Ulan-Ude,51.8357841,107.5839105
143,Wuppertal,51.264018,7.1780374
144,Arkhangelsk,64.543022,40.537121
145,Kurgan,55.7655302,64.5632681
146,Toulouse,43.6044622,1.4442469
147,Lublin,51.218194499999996,22.554677565192677
148,Mogilev,53.7254147,30.3863145
149,Kherson,46.6412644,32.625794
150,Las Palmas ,28.128874,-15.4349448
151,Smolensk,54.77897005,32.04718121915615
152,Bilbao,43.2630018,-2.9350039
153,Sevastopol,44.6054434,33.5220842
154,Murcia,37.9923795,-1.1305431
155,Fife,56.3333331,-3.0000001
156,Iasi,47.1615341,27.5836142
157,Katowice,50.2598987,19.0215852
158,Nice,43.7009358,7.2683912
159,Stavropol,45.0433245,41.9690934
160,Constanta,44.1767161,28.6507598
161,Orel,52.9685433,36.0692477
162,Catania,37.5022355,15.08738
163,Vitebsk,55.1930197,30.2070437
164,Kaluga,54.5101087,36.2598115
165,Belgorod,50.5955595,36.5873394
166,Z�rich,NaN,NaN
167,Simferopol,44.9521457,34.1024858
168,Bari,41.1257843,16.8620293
169,Vladimir,56.1288899,40.4075203
170,Sochi,43.5854823,39.723109
171,Cluj-Napoca,46.769379,23.5899542
172,Makhachkala,42.9830241,47.5048717
173,Galati,45.4338215,28.0549395
174,Wirral,53.3409714,-3.0500916
175,North Lanarkshire,55.88305065,-3.946155104761104
176,Timisoara,45.7538355,21.2257474
177,Cherepovets,59.128696,37.916389
178,Ostrava,49.8349139,18.2820084
179,Bielefeld,52.0191005,8.531007
180,Wakefield,53.6829541,-1.4967286
181,Valladolid,41.6521328,-4.728562
182,Saransk,54.18671,45.18383
183,Cardiff,51.4816546,-3.1791934
184,Brasov,45.6523093,25.6102746
185,Craiova,44.3190159,23.7965614
186,Poltava,49.5897423,34.5507948
187,Tambov,52.72879,41.45536
188,Dudley,52.5110832,-2.0816813
189,Wigan,53.5457188,-2.6264624
190,Chita,52.033409,113.500893
191,Vladikavkaz,43.024593,44.68211
192,East Riding of Yorkshire,53.873596500000005,-0.5347787525091569
193,Cherkassy,40.5695233,49.6715837
194,Mannheim,49.4892913,8.4673098
195,C�rdoba,NaN,NaN
196,South Lanarkshire,55.5831634,-3.8332212
197,Chernigov,51.494099,31.294332
198,Coventry,52.4081812,-1.510477
199,Gorlovka,48.3058686,38.0027664
200,Palma de Mallorca,39.5695818,2.6500745
201,Grodno,53.6834599,23.8342648
202,Bonn,50.735851,7.10066
203,Vologda,59.218876,39.893276
204,Varna,43.2073873,27.9166653
205,Venezia,45.4371908,12.3345898
206,Zhitomir,50.2598298,28.6692345
207,Belfast,54.5964411,-5.9302761
208,Sumy,50.9070007,34.798386
209,Leicester,52.6361398,-1.1330789
210,Komsomolsk-na-Amure,50.550877,137.020782
211,Sunderland,54.9058512,-1.3828727
212,Sandwell,52.5151278,-2.013562373718973
213,Doncaster,53.5227681,-1.1335312
214,Stockport,53.407901,-2.160243
215,Sefton,53.5034122,-2.9714708
216,Kostroma,57.7679158,40.9269141
217,Vigo,42.2376602,-8.7247205
218,�rhus,NaN,NaN
219,Brest,48.3905283,-4.4860088
220,Volzhsky,48.782102,44.7779843
221,Taganrog,47.2153657,38.9285216
222,Bialystok,53.127505049999996,23.147050870161664
223,Nottingham,52.9534193,-1.1496461
224,Petrozavodsk,61.790039,34.390007
225,Newcastle-upon-Tyne,54.9738474,-1.6131572
226,Gelsenkirchen,51.5110321,7.0960124
227,Bratsk,56.1517085,101.6334907
228,Dzerzhinsk ,56.2382157,43.4617405
229,Surgut,61.254032,73.3964
230,Karlsruhe,49.0068705,8.4034195
231,Orsk,51.2305015,58.4738015
232,Porto,41.1494512,-8.6107884
233,Alicante,38.353738,-0.4901846
234,Dneprodzerzhinsk,NaN,NaN
235,Wiesbaden,50.0820384,8.2416556
236,Kirovograd,48.5105805,32.2656283
237,Kingston-upon-Hull,53.7435722,-0.3394758
238,Novi Sad,45.2551338,19.8451756
239,Bolton,53.5782863,-2.4300367
240,Angarsk,52.5311117,103.8826109
241,Sterlitamak,53.632374,55.952259
242,M�nster ,NaN,NaN
243,Gij�n,NaN,NaN
244,LJUBLJANA,46.0499803,14.5068602
245,M�nchengladbach,NaN,NaN
246,Chemnitz,50.8322608,12.9252977
247,Messina,38.1937571,15.5542082
248,Walsall,52.5847949,-1.9822687
249,Chernovtsy,NaN,NaN
250,Khmelnitsky ,49.4009603,24.3159044
251,Malm�,NaN,NaN
252,Czestochowa,50.8120466,19.113213
253,Plymouth,50.3712659,-4.1425658
254,Hospitalet de Llobregat,41.3598601,2.0997927
255,Rotherham,53.4310417,-1.355187
256,Augsburg,48.3668041,10.8986971
257,Stoke-on-Trent,53.0162014,-2.1812607
258,Halle,51.4825041,11.9705452
259,Verona,45.4384958,10.9924122
260,Gdynia,54.50383255,18.462806155884614
261,Strasbourg,48.584614,7.7507127
262,Ploiesti,44.9417468,26.0236504
263,Nis,43.3211301,21.8959232
264,Ioshkap-Ola,NaN,NaN
265,Braunschweig,52.2646577,10.5236066
266,Nantes,47.2186371,-1.5541362
267,Wolverhampton,52.5847651,-2.127567
268,Rovno,50.6196175,26.2513165
269,TIRANA,41.3305141,19.825562857582966
270,Aachen,50.776351,6.083862
271,Sosnowiec,50.271229500000004,19.215561953947084
272,Granada,37.183054,-3.6021928
273,Kosice,48.7172272,21.2496774
274,Krefeld,51.3331205,6.5623343
275,Rybinsk,58.050373,38.834637
276,La Coru�a,42.22246,-8.73407
277,Rhondda with Cynon & Taff,NaN,NaN
278,Krementchug,NaN,NaN
279,Nizhenvartovsk,NaN,NaN
280,Graz,47.0708678,15.4382786
281,Prokopyevsk,53.890972,86.737663
282,Severodvinsk,64.563385,39.823769
283,South Gloucestershire,51.54919165,-2.4809528173453836
284,Magdeburg,52.1315889,11.6399609
285,Ivano-Frankovsk,48.9225224,24.7103188
286,Kiel,54.3227085,10.135555
287,Braila,45.2716092,27.9742932
288,Derby,52.9212617,-1.4761491
289,Utrecht,52.080985600000005,5.12768396945229
290,Ternopol,46.8357379,29.665151819060206
291,Radom,51.41716055,21.160944780832743
292,Gent ,51.0538286,3.7250121
293,Swansea,51.6195955,-3.9459248
294,Naltchik,43.4769604,43.5966578
295,Syktivkar,NaN,NaN
296,Velikiy Novgorod,58.5209862,31.2757862
297,Salford,53.4877463,-2.2891921
298,Bergen,60.3943055,5.3259192
299,Aberdeenshire,57.166667,-2.666667
300,Barnsley,53.5527719,-1.4827755
301,Biisk,52.5394905,85.2148673
302,Nizhnekamsk,55.6412879,51.8160376
303,Trieste,45.6504806,13.7931263
304,Oberhausen,51.4696137,6.8514435
305,Oradea,47.0549163,21.9285231
306,Shakhty,47.7119167,40.2115699
307,Tameside,53.4786454,-2.0770211633705165
308,Bobruisk,53.1449683,29.2281209
309,Oldham,35.3907651,-102.6193428
310,Blagoveshchensk ,50.290527,127.527161
311,Trafford,53.41893605,-2.359297161165271
312,Aberdeen,57.1482429,-2.0928095
313,Lutsk,50.7450733,25.320078
314,Vitoria-Gasteiz,42.8465088,-2.6724025
315,Southampton,50.9025349,-1.404189
316,L�beck,NaN,NaN
317,Padova,45.4077172,11.8734455
318,Belaya Tserkov ,NaN,NaN
319,Taranto,40.54881555,17.08058012454743
320,Starsy Oskol,NaN,NaN
321,Kielce,50.85403585,20.609914352101452
322,Gliwice,50.30113145,18.662347227971978
323,Badalona,41.4493539,2.248254
324,Bordeaux,44.841225,-0.5800364
325,Bacau,46.42613415,26.71205400126924
326,Highland,57.5066357,-5.0038367
327,Montpellier,43.6112422,3.8767337
328,Balakovo,52.01812,47.819141
329,Rochdale,53.6153659,-2.1557561
330,Zelenograd,55.9964233,37.198534
331,Espoo,60.2241869,24.6603626
332,Charleroi,50.4120332,4.4436244
333,Torun,53.0145361,18.596583144651557
334,Hagen,51.3582945,7.473296
335,Bytom,50.3657432,18.87153251609449
336,Novorossiysk,44.7239578,37.7690711
337,Debrecen,47.531399,21.6259782
338,Solihull,52.4130189,-1.7768935
339,Rostock,54.0924445,12.1286127
340,Linz,48.3059078,14.286198
341,Santa Cruz de Tenerife,28.469648,-16.2540884
342,Klaipeda,55.7127529,21.1350469
343,Freiburg im Breisgau,47.9960901,7.8494005
344,Pskov,57.817398,28.334368
345,Erfurt,50.9777974,11.0287364
346,Gateshead,54.9625789,-1.6019294
347,Eindhoven,51.4392648,5.478633
348,Split,43.5116383,16.4399659
349,Zabrze,50.31428055,18.781576310579183
350,Saint-�tienne,NaN,NaN
351,Oviedo,43.3605977,-5.8448989
352,Petropavlovsk-Kamchatsky,53.0199838,158.6471356
353,Zlatoust,55.1674213,59.6792625
354,Rennes,48.1113387,-1.6800198
355,Milton Keynes,52.0429797,-0.7589607
356,Yakutsk,62.027287,129.732086
357,Kassel,51.3154546,9.4924096
358,M�stoles,NaN,NaN
359,Banja Luka,44.7720845,17.1917651
360,Le Havre,49.4938975,0.1079732
361,Li�ge (Luik),NaN,NaN
362,Bourgas,42.446600000000004,27.20620689265119
363,Podolsk,55.4308841,37.5453056
364,North Tyneside,55.02979945,-1.5082559996141889
365,Calderdale,53.720474800000005,-1.9622886329676708
366,Northampton,52.23433665,-0.9028072768185829
367,Tampere,61.4980214,23.7603118
368,Tilburg,51.585618749999995,5.066061908648313
369,Elche,38.2653307,-0.6988391
370,Portsmouth,50.8036831,-1.075614
371,Kamensk-Uralsky,56.415451,61.917797
372,Brescia,45.77958045,10.4258729694612
373,Engels,51.5013775,46.1233093
374,Warrington,53.3899497,-2.5943178
375,Uppsala,59.8586126,17.6387436
376,Kramatorsk,48.7389415,37.5843812
377,Pitesti,44.8572343,24.8719422
378,Syzran,53.15538,48.474121
379,Sabadell,41.5421013,2.1138977
380,North Somerset,51.39663045,-2.769128923864108
381,Arad,46.1753793,21.3196342
382,Novocherkassk,47.41066,40.101986
383,Saarbr�cken,NaN,NaN
384,Odense,55.3997225,10.3852104
385,Mainz,50.0012314,8.2762513
386,Berezniki,59.4084171,56.8036958
387,Santander,43.4620412,-3.8099719
388,Pirai�vs,NaN,NaN
389,J�rez de la Frontera,NaN,NaN
390,Bury,49.3132772,2.3439338
391,Hamm,51.6804093,7.815197
392,Luton,51.8784385,-0.4152837
393,Kragujevac,44.0125745,20.91877
394,Reims,49.2577886,4.031926
395,Bielsko-Biala,49.81207845,19.029198802013944
396,Reggio di Calabria,38.1035389,15.6397556
397,Volgodonsk,47.5128177,42.1717606
398,St Helens,53.4535471,-2.7343231
399,Stockton-on-Tees,54.564094,-1.3129164
400,Renfrewshire,55.833333,-4.5
401,San Sebasti�n,NaN,NaN
402,Uzno-Sakhalinsk,NaN,NaN
403,Herne,51.5380394,7.219985
404,Vantaa,60.3091871,25.0364526
405,York,53.9590555,-1.0815361
406,Modena,44.5384728,10.935960870530739
407,Thamesdown,51.63196015,-1.8336279745620758
408,Legan�s,NaN,NaN
409,M�lheim/Ruhr,NaN,NaN
410,Cagliari,39.2169525,9.1128513
411,Miskolc,48.1030643,20.7900429
412,Gen�ve,NaN,NaN
413,Southend-on-Sea,51.5388241,0.7128137
414,Groningen,53.2190652,6.5680077
415,Lille,50.6365654,3.0635282
416,Turku,60.4517531,22.2670522
417,Olsztyn,53.7767239,20.477781292210345
418,Almer�a,NaN,NaN
419,Cartagena,37.6267868,-1.0006184
420,Melitopol,46.8487478,35.3676448
421,B�le,NaN,NaN
422,Sibiu,45.7973912,24.1519202
423,New Forest,50.8556349,-1.595562812670837
424,Caerphilly,51.6723809,-3.178393772876317
425,Carmarthenshire,51.893669849999995,-4.217282721429928
426,Prato,43.935718050000006,11.09414726770089
427,Plzen,49.7477415,13.3775249
428,Abakan,53.7206611,91.4403687
429,Rijeka,45.3271752,14.4412309
430,Toulon,43.1257311,5.9304919
431,Parma,44.8013678,10.3280833
432,Baranovichi,53.1322925,26.0184156
433,Kertch,45.3534002,36.4538645
434,Rouss�,NaN,NaN
435,Maikop,44.6062079,40.104053
436,Miass,55.065304,60.108337
437,Solingen,51.1712468,7.0838996
438,Tirgu-Mures,46.5270171,24.5416449
439,Bath & NE Somerset,51.35632375,-2.486661424502094
440,Osnabr�ck,NaN,NaN
441,Livorno,42.79021905,10.340281392353766
442,Lyubertsy,55.6783142,37.89377
443,Wycombe,51.66356185,-0.818083680966309
444,Tarrasa,41.5629623,2.0100492
445,Armavir,40.155261249999995,44.03765611246641
446,L�dwigshafen,NaN,NaN
447,Fuenlabrada,40.282476,-3.7923422
448,Podgorica,42.4415238,19.2621081
449,Alcal� de Henares,NaN,NaN
450,Basildon,51.5754602,0.4757363
451,Rubtsovsk,51.5276264,81.2176174
452,Pamplona,42.8184538,-1.6442556
453,Burgos,42.343926,-3.696977
454,Leskovac,42.9951304,21.9464271
455,Rzesz�w,NaN,NaN
456,�lborg,NaN,NaN
457,Kovrov,56.374603,41.311676
458,Leverkusen,51.0324743,6.9881194
459,Bournemouth,50.7194784,-1.8767712
460,Breda,51.5887845,4.7760237
461,Peterborough,52.5725769,-0.2427336
462,Szeged,46.2546312,20.1486016
463,Nakhodka,42.8246489,132.8926
464,NE Lincolnshire,53.53680335,-0.09368101348534888
465,Ruda Slaska,50.270303,18.864375646334572
466,Salamanca,40.9651572,-5.6640182
467,P�cs,NaN,NaN
468,Salavat,53.361687,55.924641
469,Ussuriisk,43.7972447,131.9520752
470,Mytishchi,55.9094928,37.7339358
471,Chelmsford,51.7345398,0.4724553
472,Foggia,41.50281055,15.452899609627728
473,Brighton,50.8214626,-0.1400561
474,South Tyneside,54.969874250000004,-1.4476805465645368
475,Charnwood,52.7392639,-1.1370832780406597
476,Aylesbury Vale,51.899954750000006,-0.8782710004180965
477,Colchester,51.8896903,0.8994651
478,Oldenburg,53.1389753,8.2146017
479,Knowsley,53.4552358,-2.8546852
480,Patrai,38.246242,21.7350847
481,Apeldoorn,52.17957375,5.930077460807249
482,North Lincolnshire,53.589744100000004,-0.6023230295256561
483,Huntingdonshire,52.37104395,-0.22357789271655937
484,Macclesfield,53.2606635,-2.1255158
485,Blackpool,53.8182212,-3.0564845
486,Perugia,43.1070321,12.402996209906487
487,Nijmegen,51.842574850000005,5.838960628748229
488,Beltsy,NaN,NaN
489,Kolomna,55.0995509,38.7811165
490,Grenoble,45.1875602,5.7357819
491,West Lothian,55.916667,-3.5
492,Borisov,54.2240665,28.5117849
493,South Somerset,50.9843053,-2.776156179800813
494,Dundee,56.4605938,-2.97019
495,Nikopol,43.7070803,24.8996563
496,Neuss,51.1981778,6.6916476
497,Baia Mare,47.6565584,23.5719843
498,Enschede,52.2209855,6.8940537
499,Norilsk,69.3498394,88.200517
500,Gand,51.0538286,3.7250121
501,Moscow,55.7504461,37.6174943
502,Bucharest,44.4361414,26.1027202
503,Warsaw,52.2319581,21.0067249
504,Belgrade,44.8178131,20.4568974
505,Vienna,48.2083537,16.3725042
506, Milan,45.4668,9.1905
507,Prague,50.0596288,14.446459273258009
508,Naples,40.8359336,14.2487826
509,Cologne,50.938361,6.959974
510,Turin,45.0677551,7.6824892
511,Athens,37.9839412,23.7283052
512,Breslau,51.1263106,16.97819633051261
513,Lisbon,38.7077507,-9.1365919
514,Copenhagen,55.6867243,12.5700724
515,Anvers,51.2211097,4.3997081
516,Gothenburg,57.7072326,11.9670171
517,Danzig,54.36143405,18.62821847557274
518,Luik,50.6451381,5.5734203
